H1_TotalPersistence,PricingError
0.8305575251579285,1.882760354225254e-07
0.8121728301048279,1.1805526121705812e-07
0.8093999624252319,1.3292130185351032e-07
0.8117649555206299,1.4932165916573502e-07
0.8213928937911987,1.679516960261581e-07
0.8100607991218567,1.0853851300260224e-07
0.8106397390365601,1.2330845117203282e-07
0.8019906878471375,1.5151890748392287e-07
0.8053368926048279,9.790916144589851e-08
0.8001280426979065,1.4460866032644897e-07
0.7840536832809448,1.1215323188163914e-07
0.7836528420448303,1.316591098706344e-07
0.7802206873893738,1.9465957026777898e-07
0.7862404584884644,1.8086311286916873e-07
0.7874575853347778,1.497548778087686e-07
0.7847252488136292,1.132401421449292e-07
0.786800742149353,1.0666134137536903e-07
0.7811095118522644,2.0751029235129568e-08
0.7797001600265503,2.5832964653971658e-08
0.7604478597640991,7.868354025860995e-08
0.7555995583534241,8.272020656212992e-08
0.7451956868171692,1.1130516747778069e-07
0.6844997406005859,1.776791836549229e-07
0.7884961366653442,2.6267736987981016e-07
0.8139125108718872,1.761322359484889e-07
0.8309744596481323,2.6038685511714163e-07
0.8566523194313049,3.5886758974418634e-07
0.8536251187324524,3.2343977016298375e-07
0.8428646326065063,2.784714408124271e-07
0.8420246839523315,2.6905378254331314e-07
0.8465470671653748,2.200510406343871e-07
0.8568820357322693,1.7666730867007922e-07
0.8557987809181213,1.6847091309328543e-07
0.8528686165809631,1.6895726217451904e-07
0.8519708514213562,1.6088194633770946e-07
0.8524658679962158,1.4819518032085227e-07
0.8599860668182373,1.30274448063546e-07
0.8652927279472351,9.32975658363925e-08
0.8642758131027222,1.2876910338130605e-07
0.8643366098403931,1.299794840463591e-07
0.8676283359527588,1.6005431539996805e-07
0.8666789531707764,1.4755871553286115e-07
0.8703338503837585,1.405889073721224e-07
0.8703491687774658,1.3627069393425464e-07
0.8564249277114868,1.6564880876831709e-07
0.8556069731712341,1.7249686048363515e-07
0.8632586002349854,1.5493072167186393e-07
0.8621488213539124,1.4270218992194425e-07
0.8671775460243225,1.5389915176662952e-07
0.8763723373413086,1.5901939080993112e-07
0.8757163286209106,1.562273513088571e-07
0.8740342259407043,1.688561581277264e-07
0.8815677165985107,1.941353827026801e-07
0.8819602131843567,1.8568429733579507e-07
0.876222550868988,1.8828045734585637e-07
0.8883856534957886,2.3425706629663298e-07
0.9160889983177185,2.747190692704675e-07
1.025199294090271,1.7061850782250712e-07
1.0754412412643433,2.0617429377168053e-07
1.0740293264389038,2.201111542251416e-07
1.0580685138702393,1.6891288606300965e-07
1.055423378944397,2.2237766867739053e-07
1.0624750852584839,1.8714350211472205e-07
1.0836374759674072,1.7592155182556343e-07
1.0824640989303589,1.547120322439692e-07
1.116694688796997,2.031617836652927e-07
1.1056843996047974,1.789980887839139e-07
1.1264138221740723,1.5479914216979564e-07
1.1200852394104004,1.8130766247549668e-07
1.1232367753982544,1.7775500854447582e-07
1.1211920976638794,1.852755191354867e-07
1.1224970817565918,1.7014724270052878e-07
1.1169003248214722,1.6045518094927325e-07
1.1180799007415771,1.6270650900684566e-07
1.1173804998397827,1.6445359011770314e-07
1.1458758115768433,1.9826892938470259e-07
1.138177514076233,1.9493919360506762e-07
1.1772191524505615,2.109713763305543e-07
1.1876343488693237,2.2006528253284627e-07
1.1891621351242065,1.9182684276924586e-07
1.1299279928207397,1.773396836397996e-07
1.0794768333435059,2.0379651578588884e-07
1.0960787534713745,1.703857273782812e-07
0.8481296896934509,1.4523584762875935e-07
0.8510452508926392,1.2710270648973697e-07
0.8029159903526306,1.033140252966469e-07
1.0003055334091187,1.2949063434345397e-07
0.9854226112365723,1.6022541919494607e-07
0.9876831769943237,1.4849249359337804e-07
0.9906591773033142,1.459012141167941e-07
1.0051257610321045,1.525389063030541e-07
1.0087586641311646,1.6071530017317676e-07
1.017274022102356,1.786656786987792e-07
1.0138766765594482,1.6490231831379695e-07
1.022637128829956,1.7432503256111648e-07
1.025545597076416,1.8934449309794196e-07
1.0409505367279053,1.678088009673083e-07
1.0488287210464478,1.776143574989779e-07
1.0640568733215332,1.7211333078626795e-07
1.0583946704864502,1.6640391276630945e-07
1.056510090827942,1.60960011461736e-07
1.0635626316070557,1.7273618379849004e-07
1.056960105895996,1.6852548956163005e-07
1.0585952997207642,1.7434545606818605e-07
1.0657868385314941,1.669675794781396e-07
1.0703457593917847,1.6019720494586664e-07
1.056398868560791,1.7779698510602543e-07
1.0574462413787842,1.7991819910995188e-07
1.059546709060669,1.9659013962645272e-07
1.058629035949707,2.0302990740841617e-07
1.0551319122314453,1.869816432858648e-07
1.0322883129119873,1.6927438675588824e-07
1.0253026485443115,1.6628116332505563e-07
1.0153580904006958,1.554478612838129e-07
0.9923912286758423,2.0063160384485926e-07
0.9959966540336609,1.9312094331341845e-07
0.9953180551528931,2.1393752268599603e-07
0.9864485263824463,1.9640505489288904e-07
0.9461274743080139,1.8129087848766864e-07
0.9559233784675598,2.0365278488500976e-07
0.9776263236999512,2.1921959149611564e-07
0.9819983839988708,2.1802087704983486e-07
0.9687144756317139,2.2384199749141132e-07
0.9605352282524109,2.1543956073158746e-07
0.964841902256012,2.2964283514321712e-07
0.9676095843315125,2.085518637589233e-07
